medicare provider number,hospital name,street address,city,state,zip code,"hospital system or, if independent, ipps/cah",is hospital a critical access hospital (y/n)?,"hospital compare 5-star rating (october 2018, na=not available)",number of outpatient services,total private allowed amount for outpatient services ($ millions),simulated medicare allowed amount for outpatient services ($ millions),relative price for outpatient services,standardized price per outpatient service,number of inpatient stays,total private allowed amount for inpatient services ($ millions),simulated medicare allowed amount for inpatient services ($ millions),relative price for inpatient services,standardized price per inpatient stay,total private allowed amount for inpatient and outpatient services ($ millions),simulated medicare allowed amount for inpatient and outpatient services ($ millions),relative price for professional inpatient and outpatient services,relative price for inpatient facility services,relative price for outpatient facility services,relative price for inpatient and outpatient services,total private allowed amount for facility inpatient and outpatient services ($ millions),simulated medicare allowed amount for facility inpatient and outpatient services ($ millions),total private allowed amount for professional inpatient and outpatient services ($ millions),simulated medicare allowed amount for professional inpatient and outpatient services ($ millions),"hospital compare 5-star rating (october 2018, n/a = not available)",Total Discharges,Total Discharges.1,Total Discharges.2,Average Covered Charges,Average Covered Charges.1,Average Covered Charges.2,Average Total Payments,Average Total Payments.1,Average Total Payments.2,Average Medicare Payments,Average Medicare Payments.1,Average Medicare Payments.2,Average Estimated Total Submitted Charges,Average Estimated Total Submitted Charges.1,Average Estimated Total Submitted Charges.2,Average Medicare Allowed Amount,Average Medicare Allowed Amount.1,Average Medicare Allowed Amount.2,Average Medicare Payment Amount,Average Medicare Payment Amount.1,Average Medicare Payment Amount.2,Outlier Comprehensive APC Services,Outlier Comprehensive APC Services.1,Outlier Comprehensive APC Services.2,Average Medicare Outlier Amount,Average Medicare Outlier Amount.1,Average Medicare Outlier Amount.2,Revenue from sale of medical and surgical supplies to other than patients [other_income_supplies_nonpat],Revenue from sale of drugs to other than patients [other_income_drugs_nonpat],"Tuition (fees, sale of textbooks, uniforms, etc.) [other_income_tuition]","Revenue from gifts, flowers, coffee shops, and canteen [other_income_gifts]",Rental of vending machines [other_income_vending],Governmental appropriations [other_income_govt_approp],Revenues from State and local indigent care programs (2552-96 only) [revs_uncomp_stloc_indig_only96],Revenues related to SCHIP (2552-96 only) [revs_uncomp_schip_only96],"Restricted grants for Uncompensated care, Medicaid, and SCHIP (2552-96 only) [revs_uncomp_rstrgrants_only96]","Non-restricted grants for Uncompensated care, Medicaid, and SCHIP (2552-96 only) [revs_uncomp_nonrstrgrants_only96]",Charges for patients covered under state or local indigent care program [stloc_indigent_charges],State or local indigent care program cost [stloc_indigent_costs],Stand-alone SCHIP charges [schip_charges],Stand-alone SCHIP cost [schip_costs],"Inpatient days, Medicare skilled nursing facility swing beds [mdcr_snf_swingbed_inpat_days]","Inpatient days, skilled nursing facility swing beds [all_snf_swingbed_inpat_days]","Inpatient days, nursing facility swing beds [all_nf_swingbed_inpat_days]","Inpatient days, other specialty care units [all_oth_spec_care_inpat_days]","Inpatient days, coronary care unit [all_coronary_care_inpat_days]","Inpatient days, burn intensive care unit [all_burn_icu_inpat_days]","Inpatient days, surgical intensive care unit [all_surgical_ic_inpat_days]",Revenue from rental of living quarters [other_income_livingrental],Revenue from laundry and linen service [other_income_laundry],Parking lot receipts [other_income_parking],Rebates and refunds of expenses [other_income_rebates],Nursing and allied health managed care payment [mdcr_ipps_nurs_mgdcare_pymts],Net organ acquisition cost [mdcr_ipps_net_organ_cost],Cost of teaching physicians [mdcr_ipps_teach_phys_cost],Routine service other pass through costs [mdcr_ipps_routine_passthru_cost],medicare provider number.1
150021,Parkview Hospital,"11109 Parkview Plaza
Drive",Fort Wayne,IN,46845,"Parkview Health
System",N,4,5222,22.07,4.75,465,416.25,470,11.68,3.82,306,22659,33.75,8.57,125,335%,558%,394,31.85,7.04,1.9,1.52,,41.069182389937104,43.625,40.810344827586206,54312.217547169814,61433.80223684213,65461.93531821836,13368.632201257862,13939.452434210527,14257.994272201153,11585.816477987422,11821.185657894739,11471.55650406322,68105.56907859958,64016.91859485475,42603.31336739574,12247.380146295754,10108.43680996682,5784.474548378155,11108.603056756134,9007.52426104019,4997.07629902989,1.5714285714285714,5.384615384615385,4.0588235294117645,224.8137818181814,461.03135607882774,400.0177134358283,20553.986558,5304485.01410309,3171.24823425,471864.36410879606,10684.764401064413,232991.33333333334,4572076.335841667,,,,87638106.51045908,18569109.667681817,2147462.644515,519528.683776125,,,,6269.666010266667,10937.5987607,67.39999983279999,,35467.969521,56296.4648416,226448.67762395655,107597.09642221399,77537.75563835294,,,12870.138689220714,150021
150022,"Franciscan Health
Crawfordsville",1710 Lafayette Rd,Crawfordsville,IN,47933,Franciscan Health,N,3,740,1.45,0.48,299,291.82,,,,,,,,,,335.85543118,,,,,,,24.533333333333335,22.375,25.5,24492.584,24233.936874999996,24513.634511875,7483.308,7587.9018750000005,7391.800111375,6517.535333333333,6466.308125,6222.353002125,,24690.219475524398,17794.77154040301,,3450.19903846153,2636.6277304623113,,2746.66078846153,2096.956108682449,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150023,Union Hospital  Inc.,1606 N Seventh St,Terre Haute,IN,47804,Union Health,N,3,3825,13.84,4.45,311,285.44,304,5.18,2.36,220,17729,19.02,6.81,121,242%,354%,279,17.52,5.58,1.5,1.23,,41.88636363636363,44.58461538461538,41.175182481751825,40849.86590909089,39606.06000000001,38098.36702883213,11669.677121212126,11653.417461538465,10975.909290496349,10470.998484848486,10298.902384615389,9713.904955956203,33273.44092962496,33775.500291267126,24502.747295228284,10593.424095476536,8978.694946122636,5641.483526535434,9534.990534424862,7905.209407953062,4883.758234283187,0.0,1.7692307692307692,0.0,0.0,29.790656187290928,0.0,70505.641866,36708.4899925,5063.99879265,,59517.985809750004,909318.351235,,,,,,,176947.5,40592.0,,,,2654.564565715652,4625.6649965999995,,,179348.27733133335,31996.4880335,,260893.93779999999,14820.07924820333,,,,150023
150024,Eskenazi Health,720 Eskenazi Avenue,Indianapolis,IN,46202,Eskenazi Health,N,5,1373,1.86,0.86,215,237.52,93,2.89,1.64,177,24818,4.75,2.5,155,178%,236%,190,4.27,2.19,0.48,0.31,,31.919354838709676,33.47540983606557,33.74242424242424,36597.28145161291,58252.19163934428,59763.97802121212,15803.209677419356,20660.80213114754,18543.383586848486,14396.915000000003,19038.499672131147,16968.256808666672,39798.5372763713,28640.696728226496,21762.278011057224,6967.3,4473.847632908404,3383.983319133728,5883.13,3649.088344435317,2769.4110085412362,28.5,36.166666666666664,20.6,2613.21198867647,1423.9499765587022,1386.9741440640098,,,145355.0,1402.9993472,,53900022.557000004,104393613.35666667,,9122916.728775,,255680528.342,137650562.24400002,5462388.0,1484142.0,,,,6938.234986899999,,3053.59974208,5941.6658997,,,408166.9828775,131825.2440075,3039.999598675,,,,150024
150026,Goshen Hospital,200 High Park Ave,Goshen,IN,46526,Goshen Health,N,4,511,1.73,0.51,337,318.04,56,1.47,0.48,306,26674,3.2,0.99,169,360%,372%,322,2.82,0.77,0.38,0.22,,25.285714285714285,25.186046511627907,28.314285714285713,35056.4287755102,37609.388372093024,41215.483776571426,8651.745714285715,9175.936511627904,10171.303118885715,7490.578979591838,7555.529302325582,8642.033159085715,45416.68939736726,23808.77933379941,18857.46482455031,10251.98862745098,4731.0391994776965,3804.90127347278,8991.988627450979,3838.464419077988,3106.4541597162506,0.0,30.0,11.818181818181818,0.0,868.5223050000001,562.7860440151509,19672.333303,1161.4996441500002,134243.479795,6105.0,4963.399375,,188160.0,,,,188160.0,79500.0,,,,,,,,,,,,,522796.23674142855,19328.5999144,,,,150026
150030,"Henry County Memorial
Hospital",1000 N 16th St,New Castle,IN,47362,Henry County Hospital,N,4,291,0.76,0.32,237,229.02,,,,,,,,,,261%,,,,,,,31.285714285714285,32.77272727272727,29.23076923076923,29694.783333333333,25913.64136363636,22370.476266153848,10744.823333333332,9544.064999999999,9475.15390076923,9399.254285714285,8436.690454545458,8136.438973884616,,15932.343345127738,12995.215846882309,,3482.0583582602676,4377.581802673296,,2765.356526130303,3755.7951095283265,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150034,St. Mary Medical Center  Inc.,1500 S Lake Park Ave,Hobart,IN,46342,"Community
Foundation of
Northwest",N,5,842,1.46,0.54,272,260.9,25,0.42,0.19,220,15464,1.88,0.73,119,235%,307.97128937,258,1.73,0.6,0.15,0.13,,35.152542372881356,39.1875,36.833333333333336,35279.14855932201,35575.19041666667,35914.08292654762,10393.841101694914,9818.174374999997,9525.995623892859,9066.559661016949,8587.835937499998,8264.725297297618,40099.800230343135,32758.80156538958,23187.808800724833,11287.822158657487,9098.50202573876,5071.2261480094885,10145.533471071985,8034.887317973405,4319.56031326761,0.0,0.0,0.0,0.0,0.0,0.0,,166.59996447540001,,,8336.951131454547,968884.3133772888,,,,,365.499912855,79.74998098575,,,,,,,,,,,,,524.49987495,17139.995421855554,,,22071.159417000003,150034
150035,Porter Memorial Hospital,85 East Us Hwy 6,Valparaiso,IN,46383,"Community Health
Systems",N,4,1381,2.53,1.11,229,210.59,141,2.29,1.08,212,18297,4.83,2.19,123,240%,253%,221,4.26,1.73,0.57,0.46,,37.23076923076923,37.61467889908257,37.916666666666664,73885.82940170942,83176.71834862386,89181.23470291668,10803.977777777776,11351.692110091743,11471.566021427085,9460.907179487178,9836.786605504585,10023.380481166669,98679.32060454192,78462.62065266473,49458.81256953135,10944.931121444297,7644.114924634203,4878.643156898935,9782.270551971666,6616.4251653670435,4165.4191334790285,9.5,12.833333333333334,0.6470588235294118,678.4381492424233,666.0232321420939,63.120699465240584,,19362.9995719,56226.99665133333,,12584.8744275,,1503847.874,,,,13190535.88272,4122608.283,10261.998214285715,1622.4284559999999,,,,3234.285254857143,,,,,12947.99910106,13016.142123257143,433126.36150700005,63529.9917023,,,,150035
150037,Hancock Regional Hospital,801 N State St,Greenfield,IN,46140,Hancock Health,N,3,2144,4.14,1.16,357,337.79,49,0.77,0.35,220,16207,4.92,1.51,133,241%,413%,325,4.53,1.22,0.39,0.29,,36.5,31.458333333333332,36.7,19510.913000000004,21405.209583333333,23591.841528999998,7228.106999999998,6983.418333333335,8027.677181249998,5941.198000000001,5812.574583333335,6694.706773250002,45824.9576470588,31172.123780161328,16161.087432096763,9465.6,6260.753407477278,3089.6511880556914,8205.6,5353.134318301686,2482.466438780483,,0.0,1.4444444444444444,,0.0,175.17893675213668,,,,,,,5392.9994435,1895056.0,132642.95376499998,,7188.0,3769.0,,,,,,,,,,,,,,7807.1247164,,,11834.5441119,150037
150042,Good Samaritan Hospital,520 S 7th St,Vincennes,IN,47591,"Good Samaritan
Hospital",N,4,488,1.21,0.32,374,331.79,29,0.63,0.2,313,21806,1.83,0.52,120,351%,441.66937431,351,1.71,0.42,0.12,0.1,,38.274193548387096,34.984848484848484,37.317460317460316,27549.16951612903,28686.42075757575,30463.211610000002,8136.899032258063,7834.60318181818,7659.6261784285725,7124.627258064517,6741.5275757575755,6506.979584873016,24575.5475648148,23249.371127755534,18858.46305894686,7092.784777777776,4791.485016210184,3413.161101337828,5982.770814814813,3875.5259104592437,2750.6880516726565,0.0,19.0,6.928571428571429,0.0,641.7375221678301,570.4781996669271,9344918.666666666,,19001.6646975,,40308.33247733334,2337811.2465666668,,,,,,,,,,,,,,,,,,,,7335.1421997285715,,,,150042
150044,Baptist Health Floyd,1850 State St,New Albany,IN,47150,"Baptist Healthcare
System",N,3,2361,4.09,2.21,185,164.52,239,3.79,2.13,178,12316,7.88,4.34,101,195%,205%,182,7.06,3.53,0.82,0.81,,38.39310344827586,37.669172932330824,38.310344827586206,32051.327862068953,35991.686090225565,38613.15737848277,9511.157310344834,10224.390000000001,10912.838150986208,8367.0415862069,9115.161804511277,9651.24964336552,32066.261884901556,29878.88419275181,26524.335436469533,11508.279165729875,7353.750679076791,5131.479426731141,10378.37306692996,6356.09240379131,4379.690163046804,0.0,0.0,1.0909090909090908,0.0,0.0,57.90701212121182,,3618.7499224,,,188260.64688106667,1367917.592188,20815952.0,,,,988613.7717637501,236750.334302375,,,,,,,,,,,,257878.74951199995,555776.5392806666,11999.997290583333,,,76422.48178100001,150044
150045,Dekalb Memorial Hospital,1316 E Seventh St,Auburn,IN,46706,Independent (IPPS),N,3,165,0.25,0.09,269,227.53,,,,,,,,,,302%,,,,,,,20.31578947368421,19.555555555555557,21.1875,19287.239473684207,21826.304444444442,24526.939933749996,6558.9468421052625,6500.296111111111,6739.2113949375,5511.337368421053,5419.242777777778,5335.8648858125,,15241.283969671198,9074.346730221947,,3248.665833333333,1981.2164159994313,,2585.7643537414933,1572.9811911232625,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150046,Terre Haute Regional Hospital,3901 S Seventh St,Terre Haute,IN,47802,HCA Healthcare,N,2,931,3.87,0.95,406,368.32,65,1.03,0.4,253,17194,4.9,1.36,131,275%,477.16981224,361,4.57,1.11,0.33,0.25,,29.419354838709676,32.52542372881356,30.54237288135593,48654.52338709677,50719.64627118645,56673.542214745765,8753.25322580645,8794.484915254237,9005.599250474577,7375.886290322582,7397.2811864406785,7706.676801932204,64905.963150650874,50062.55516058251,36564.934737111806,12049.137811383644,7642.744453925471,4935.016062605262,10895.612621854396,6613.682423229422,4197.207525290738,0.0,0.0,0.0,0.0,0.0,0.0,474.49988686999995,16756.996005,,26316.9937255,46105.9890075,,76652.9817255,,,2966604.77215,341106.87997475,94540.4750633,,,,,,,,,,,,,,7108.798253819999,,,,150046
150047,St Joseph Medical Center,700 Broadway,Fort Wayne,IN,46802,"Community Health
Systems",N,2,253,0.43,0.13,319,283.46,20,0.27,0.14,198,13311,0.7,0.27,129,201%,378%,257,0.65,0.23,0.05,0.04,,19.257142857142856,23.391304347826086,26.0625,60999.716,62548.5952173913,62064.466800625,11520.378857142854,10610.796956521739,9433.874303374998,10429.476,8603.44347826087,8177.272514687499,69737.22700497683,70368.00279931813,45150.25992526253,9028.705480072455,7967.5587704163545,4663.114962555441,7867.437306159414,6972.26483018588,3918.8983008577197,0.0,,0.0,0.0,,0.0,398446.756500684,255621.93901293405,36184.809733104536,98127.976602,5229.999279661427,,292253.293523875,,,,4176989.6671735295,1014466.3966264705,3274689.7801902397,814831.193446878,,,,,1733.9994221000002,1855.4160746041669,,121206.95247891801,,40540.384642100005,,22884.421742200004,,,,150047
150048,"Reid Hospital & Health Care
Services",1100 Reid Pkwy,Richmond,IN,47374,Reid Health,N,5,1032,4.24,1.02,415,389.29,45,1.22,0.43,281,23517,5.46,1.45,117,315%,480%,375,5.16,1.2,0.3,0.25,,42.0377358490566,41.16504854368932,42.570093457943926,29709.83349056604,32121.314757281558,34073.17502971963,11567.73886792452,13514.466116504853,13373.190152598125,10431.106226415095,12070.802718446601,12059.718083579439,39381.91067175884,31271.608270779165,23593.880781265765,12718.40435469213,9737.249739560166,6065.4646188538345,11529.764253488098,8631.204057020395,5257.942055397499,0.0,0.0,0.0,0.0,0.0,0.0,,61911.41626757143,42336.87448625,,21152.906483454546,124999.96747,989167.3280825,,384839.3941285714,105993.12069571427,2724967.4438375,1234686.34383625,,,,,,,,8.0,,,213252.44499536368,,25880.49726025,21294.49760659143,,,83663.27745023,150048
150051,Iu Health Bloomington Hospital,601 W Second St,Bloomington,IN,47403,"Indiana University
Health",N,4,10558,39.6,9.96,398,372.54,969,20.74,6.93,299,24393,60.34,16.88,117,336%,464%,357,56.76,13.83,3.58,3.06,,36.06060606060606,39.1566265060241,38.734939759036145,50191.864545454555,56011.037108433724,59595.737693493975,12311.005656565658,12491.781445783135,12426.914898373496,10304.170101010106,10241.852409638557,10220.541048879517,61269.355902096926,52423.90726706279,35374.97163925189,11975.68516876636,8689.365735422161,5471.84016546448,10832.304428958072,7632.40513687747,4681.108832117462,17.333333333333332,22.6,4.8125,959.3549044708601,750.0135009646449,303.7455444163919,,,34459.23559375,,251679.49225,1832393.5513780003,1170662.181918,,1396916.8475600001,2069591.4771,14325666.703658333,4281667.9847,,,,,,3269.5,3360.0,,,,338429.48643744667,61006.058203416665,,63466.249614700006,,,,150051
150056,Indiana University Health,1701 N Senate Blvd,Indianapolis,IN,46202,"Indiana University
Health",N,4,23663,71.39,19.18,372,351.74,1738,95.39,28.42,336,37398,166.77,47.6,164,353%,416%,350,157.09,41.68,9.68,5.92,,45.927083333333336,43.31636363636363,44.41947565543071,88394.23475694444,94102.01709090904,98302.76867681657,22415.73135416666,22045.7794181818,22511.517298868905,18433.81631944445,17894.870545454538,18777.315153367024,79276.44244389393,70850.15863849224,46301.84568646635,13461.02946861088,10715.106155324296,7430.20273177339,12271.506822910158,9594.148690646174,6552.45599728355,29.357142857142858,31.476190476190474,30.11111111111111,1256.4590159267052,1143.0173952670877,1342.4611679544114,,,453796.43356000003,,108845.98630133334,,5810600.0,3333446.0,915210.0,,160327266.66666666,37666474.0,3333446.0,1588950.0,,,,18608.999582587498,23622.99938208696,1735.9544605727272,16779.134184272727,969230.9241999999,,1438702.1269333332,893101.2648333333,214852.79312800002,13902044.755747827,,317532.9325191304,150056
150057,St Francis H&h - Mooresville,1201 Hadley Rd,Mooresville,IN,46158,Franciscan Health,N,5,2670,5.48,1.73,317,307.9,89,3.16,1.15,276,20814,8.64,2.88,117,311%,371%,300,7.96,2.3,0.68,0.58,,44.15384615384615,48.23076923076923,69.63157894736842,37799.414615384616,38848.016153846154,43184.34677789473,9902.443846153845,10170.548846153846,10511.269206999998,8101.623461538462,8288.744615384616,8581.739503052631,40270.763604651496,29635.305161364435,20759.28052520964,9947.919186046509,5699.4817602448165,3153.157401777994,8687.919186046509,4796.661986782077,2560.4204176510093,0.0,0.0,0.0,0.0,0.0,0.0,361.59994337574005,17470.998377375716,,132801.98356166665,17666.41638935175,,,,,,4624820.776266667,2100859.7324333335,,,,,,818.9999264225,,,913.1665656625,,847.0,,2992.498895895,,,,,150057
150058,"Memorial Hospital Of South
Bend  Inc",615 N Michigan St,South Bend,IN,46601,"Beacon Health
System",N,4,807,2.96,1.02,291,271.95,114,3.4,1.34,253,21379,6.36,2.36,145,271%,319%,269,5.86,2.02,0.5,0.35,,41.359223300970875,40.0990099009901,40.741573033707866,47152.40398058253,51987.51267326733,51590.3237780899,11582.280097087378,12517.966138613858,12408.722551022473,10125.452815533978,10961.345445544555,10760.406933505621,61242.60742649458,44237.073647195175,28892.88214679007,11936.261157939844,8976.732467461965,6223.581996857419,10780.300101700766,7927.152421999286,5427.949232568627,8.5,8.545454545454545,2.6923076923076925,864.4056724637667,683.6432265266815,319.8393877029912,9322.9961045,,,,8504.570284971429,1348279.9835626087,8701803.5,345463.64178,,,4084301.9094033334,1466446.2026039998,718429.3410464285,224982.21269500002,,,,,7435.998645594444,,,,,161907.12002647825,524945.668891387,31047.815108390907,,,150353.9863,150058
150059,Riverview Hospital,395 Westfield Rd,Noblesville,IN,46060,Riverview Health,N,3,1714,4.45,1.58,282,277.83,78,1.46,0.67,218,17629,5.91,2.25,114,246%,327.0441619,263,5.38,1.78,0.53,0.47,,28.12121212121212,27.944444444444443,26.34285714285714,27947.946060606067,25493.400555555552,28473.728200571426,9374.90393939394,7948.916111111111,8318.926977771429,8262.21696969697,6639.878333333334,7099.8133676285715,36742.4333727881,30041.236496518613,19029.44518162984,8957.034061379123,6313.105543079483,3483.7286428749367,7823.00998049677,5314.530151053272,2815.8722819750155,0.0,5.0,4.5,0.0,230.5965725,231.83436499999948,,,,,,,83322.24058225,,18059.0,,80822.24058225,35077.999315,,,,,,,,,,,,,,23930.2497645,,,,150059
150061,Daviess Community Hospital,1314 E Walnut St,Washington,IN,47501,Ascension Health,N,4,402,0.64,0.21,306,262.59,,,,,,,,,,355%,,,,,,,19.636363636363637,18.428571428571427,20.8,16641.771363636366,17609.263809523807,18823.370712666667,6379.69,6788.815714285714,6518.4848774,5454.077727272727,5792.28238095238,5389.3084102,,10155.500486331945,6966.889986625711,,2703.3046217418896,1450.1148914938476,,2147.337810976905,1145.5075555737776,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150064,"Fayette Regional Health
System",1941 Virginia Ave,Connersville,IN,47331,Independent (IPPS),N,4,66,0.14,0.03,412,362.1,,,,,,,,,,501%,,,,,,,19.583333333333332,25.75,22.0,16283.998333333335,17270.6375,20558.972354999998,6900.916666666667,7740.452499999999,7977.653847500001,5965.868333333333,6716.2275,6830.39423,,8172.293730569941,9425.836306179874,,1835.4050777202103,1946.1779833083526,,1455.19077720207,1547.1246062548544,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150065,Schneck Medical Center,411 W Tipton St,Seymour,IN,47274,"Schneck Medical
Center",N,5,7953,22.32,6.28,356,312.93,275,4.6,1.88,245,18642,26.92,8.16,139,273%,411%,330,24.65,6.52,2.27,1.64,,24.59375,24.727272727272727,25.4,21010.2390625,21617.304999999997,27847.33064649999,7607.728437499999,8577.55590909091,9903.12450835,6429.7690625000005,6807.0145454545445,8609.0884236,,26086.54446866556,17660.034503434465,,3772.256687441888,2363.94482028896,,2984.232637845112,1870.7755924309447,,20.666666666666668,7.818181818181818,,1508.6010459130432,818.7399805175482,,186229.24741626802,6119.874292318749,7973.49912914375,19893.999614725,,316133.3985305,,8340.0,,522697.991644,203240.9989384,,,624.5237775133334,658.9523258828572,194.49997754500004,,,,,620433.0,,,53009.082645241666,,,,,150065
150069,Kings Daughters Hospital,1373 East Sr 62,Madison,IN,47250,"Kings Daughters
Health",N,4,943,3.1,1.02,303,294.98,63,1.52,0.54,279,20299,4.62,1.57,138,304.81949172,343%,295,4.23,1.28,0.39,0.28,,33.916666666666664,36.18518518518518,34.5945945945946,27152.278611111105,24177.778148148158,26883.364638108105,8145.50138888889,7184.614444444444,7649.289387999999,6900.078055555555,5975.442592592591,6503.478869162162,27538.16785714285,20062.766158148526,14520.121457778649,8068.728993506491,3892.62600804431,2458.4652678655957,6796.023603896099,3078.4447065647996,1936.2122587219596,0.0,0.0,0.0,0.0,0.0,0.0,537.3333233,,34284.0,108560.4866562143,,55883.333333333336,,,,29087728.0,,,,,,,,,,,,59431.0,,,,9765.59987158,,,,150069
150072,Memorial Hospital Logansport,1101 Michigan Ave,Logansport,IN,46947,Independent (IPPS),N,3,960,1.7,0.62,274,253.24,30,0.24,0.21,118,10888,1.94,0.83,120,121%,313%,235,1.74,0.66,0.2,0.17,,18.954545454545453,20.11111111111111,24.733333333333334,20560.844545454547,22642.10111111111,17561.209500666668,9220.085909090909,9897.981666666667,10006.6764438,8263.483181818183,8772.982777777777,8989.684278666666,,18179.642334063137,12227.081235467493,,3368.730764814814,2259.2758038236025,,2643.625892592592,1791.4177874742534,,19.0,0.0,,1691.14370526315,0.0,,,,,,,274156.0,,,,,,,,31.66666535666667,32.999998690000005,18.999994815999997,,,,,,,,,,,,,150072
150074,"Community Health Network
Inc.",1500 N Ritter Ave,Indianapolis,IN,46219,"Community Health
Network",N,4,5958,22,5.16,426,403.47,310,9.41,3.69,255,21347,31.41,8.86,120,265%,492%,355,30.01,7.69,1.4,1.16,,40.971698113207545,41.20388349514563,41.04081632653061,51688.40113207548,56076.894951456314,61796.28740142856,14060.822075471691,14388.027378640778,16301.58778845919,12376.396415094345,12540.770970873784,14301.53789527551,58889.220589325574,55499.67713464796,53619.778687355836,11893.553408771068,11362.844645481358,9936.881400681292,10697.384723141695,10225.84602101822,8956.295325493797,16.142857142857142,16.8,36.833333333333336,1198.2378425296426,894.8192075815717,1676.6301417619009,160.0,19627.1403849,,,90.0,166688.0,4030917.06575,,,5671725.1324333325,2737296.0876666666,1007982.6319666667,,,,,,,8835.086123521738,154.3333125416667,,,,288810.497945,,45333.66351319166,,,,150074
150075,"Bluffton Regional Medical
Center",303 S Main St,Bluffton,IN,46714,"Community Health
Systems",N,3,607,1.36,0.43,314,286.46,21,0.34,0.13,255,18959,1.69,0.56,128,281%,368%,300,1.54,0.45,0.15,0.12,,21.80952380952381,21.285714285714285,23.09090909090909,28936.55666666667,36413.51285714285,40915.39648181818,6322.320476190475,6699.252857142857,7144.259492181818,5134.068571428572,5527.629285714285,5722.853614999999,,14638.9161764706,27127.696219453937,,1942.90764705882,2331.7040034598526,,1537.76117647058,1850.8486696203092,,0.0,0.0,,0.0,0.0,244.49988341,122800.6766025,,80679.03843754547,8960.281461364286,,202170.65043783333,143705.85478,,,683467.5139425294,162554.10065282354,262254.5673305,70441.40348993916,,,,,,,,,19064.741911625,,,,,,,150075
150076,"St. Josephs Reg Med Center
Plymouth",1915 Lake Ave,Plymouth,IN,46563,Trinity Health,N,4,823,1.66,0.52,317,292.62,29,0.4,0.16,240,17548,2.06,0.69,164,268%,361%,299,1.8,0.53,0.26,0.16,,22.5,23.0,23.05,17493.995625,20439.125789473685,19955.611958999998,6869.16875,7728.252631578946,7724.5850469,5454.8375,6475.063157894737,6259.062989799999,,18940.908006474478,11561.367307486618,,3175.9012384180037,2307.7863913292576,,2515.7189371155096,1830.669989814104,,0.0,0.0,,0.0,0.0,,,,32022.992365,27619.988506333335,,351135.85481000005,174.499958395,197666.45286999998,,393776.85489,157915.78212166668,174.499958395,69.49998342949999,,,,,,,,,,,286317.22001666663,251.99993992,,,,150076
150082,Deaconess Hospital,600 Mary St,Evansville,IN,47747,"Deaconess Health
System",N,3,4483,12.24,4.44,276,254.14,307,7.24,2.62,277,18499,19.48,7.05,140,301%,312%,276,17.62,5.73,1.85,1.32,,56.16509433962264,52.93896713615023,55.22222222222222,40782.872971698096,38311.20206572769,37852.343255797074,10796.293396226412,10725.246666666666,10245.708030280193,8724.406933962264,8856.908544600943,8697.568048782618,31394.6797803119,25816.847379276827,19849.43250289882,9946.507559465621,6884.729330537878,4436.2480962069385,8845.583903551644,5909.732493958794,3736.088484863345,0.0,0.0,0.0,0.0,0.0,0.0,,,2108.9995504999997,,17963.741434249998,,473687.93498120003,,,,3201826.47325,1035650.506165,,,,,,,5165.163839287499,,,,,14174.991524000001,613356.3741966666,204683.397216678,,,268323.5724986667,150082
150084,St. Vincent Hospital & Hcc,2001 W 86th St,Indianapolis,IN,46260,Ascension Health,N,3,8609,39.57,11.18,354,335.83,1093,43.3,14.32,302,29127,82.87,25.5,130,324%,403%,325,78.21,21.92,4.67,3.58,,38.81512605042017,38.63274336283186,39.708920187793424,64802.94760504201,66805.31433628322,73269.21115314554,17640.07983193277,16645.249115044244,17539.488647150225,13453.352689075626,14102.4953982301,15298.804879032868,53002.59682257824,48089.44722040973,40051.35368425352,13160.126718022086,10201.285462501235,6861.5381785042,11994.065203164584,9118.054014027624,6019.910805149847,1.9230769230769231,14.428571428571429,8.555555555555555,108.4341827416173,371.3311495878437,235.3203681853776,,5290326.781497143,,289532.2821776,128795.96529960001,602567.070572,1509408.635018333,6937898.3459,,,3735592.1093875,1275544.195875,,,,,,17350.19382441333,8698.496664025,2613.8991158599997,22470.3913825,684939.3367,,,,111375.58805208423,2364157.857013417,,123123.83500374999,150084
150086,Dearborn County Hospital,600 Wilson Creek Rd,Lawrenceburg,IN,47025,Mercy Health,N,3,987,1.3,0.61,212,195.8,41,0.63,0.35,179,14681,1.92,0.96,123,193%,236.61954696,200,1.68,0.77,0.24,0.2,,31.024390243902438,29.523809523809526,27.225,19583.740243902434,17933.270714285718,20667.111360900006,7476.269268292683,6512.458095238095,7699.4150931250015,6440.009512195121,5471.397142857143,6579.0434879,12195.7766666666,12178.222740489367,8398.986936001316,4268.28,3415.2882482847326,2351.8894575273966,3400.74,2720.1283783590598,1854.4191433911792,0.0,0.0,0.0,0.0,0.0,0.0,,484468.20384615386,,,,,154301.3982876,2377.49993045,,,606014.787398,265495.775616,11681.998951200001,4382.3327269,,,,,,,,,,,,,,,,150086
